"FROM ORG ID/ID DE L'ORGANISATION DE DÉPART","FROM ORG PATH/CHEMIN POUR L'ORGANISATION DE DÉPART","RELATIONSHIP TYPE ID/ID DU TYPE DE LIEN","RELATIONSHIP TYPE LABEL/NOM DU TYPE DE LIEN","TO ORG ID/ID DE L'ORGANISATION DE DESTINATION","TO ORG PATH/CHEMIN POUR L'ORGANISATION DE DESTINATION","TO POSITION ID/ID DU POSTE DE DESTINATION","TO POSITION TITLE/TITRE DU POSTE DE DESTINATION","RELATIONSHIP TYPE LABEL FR/NOM DU TYPE DE LIEN (FR)"
1840,Academic and Experience Requirements Committee of the Association of Ontario Land Surveyors,-332,Reporting To,1183,Natural Resources and Forestry,,,Relève de
1133,Advertising Review Board,-332,Reporting To,1102,Government and Consumer Services,,,Relève de
4012,Advisory Council on Drinking Water Quality and Testing Standards,-332,Reporting To,707,"Environment, Conservation and Parks",,,Relève de
4012,Advisory Council on Drinking Water Quality and Testing Standards,-332,Reporting To,749,"Environment, Conservation and Parks::Environmental Sciences and Standards Division::Technical Assessment and Standards Development Branch::Water Standards",,,Relève de
1835,Agricorp,-332,Reporting To,185,"Agriculture, Food and Rural Affairs",,,Relève de
227,Agricultural Research Institute of Ontario (ARIO),-332,Reporting To,185,"Agriculture, Food and Rural Affairs",,,Relève de
185,"Agriculture, Food and Rural Affairs",332,Accountable For,4535,Normal Farm Practices Protection Board,,,Responsable de
185,"Agriculture, Food and Rural Affairs",332,Accountable For,4580,"Agriculture, Food and Rural Affairs Appeal Tribunal",,,Responsable de
185,"Agriculture, Food and Rural Affairs",332,Accountable For,1835,Agricorp,,,Responsable de
185,"Agriculture, Food and Rural Affairs",332,Accountable For,231,Ontario Food Terminal Board,,,Responsable de
185,"Agriculture, Food and Rural Affairs",332,Accountable For,230,Livestock Medicines Advisory Committee,,,Responsable de
185,"Agriculture, Food and Rural Affairs",332,Accountable For,229,Livestock Financial Protection Board,,,Responsable de
185,"Agriculture, Food and Rural Affairs",332,Accountable For,228,Grain Financial Protection Board,,,Responsable de
185,"Agriculture, Food and Rural Affairs",332,Accountable For,227,Agricultural Research Institute of Ontario (ARIO),,,Responsable de
185,"Agriculture, Food and Rural Affairs",332,Accountable For,4502,Redap,,,Responsable de
185,"Agriculture, Food and Rural Affairs",333,Serviced By,3722,"Natural Resources and Forestry::Office of the Chief Information Officer, Land and Resources I&IT Cluster",,,Reçoit des services de
185,"Agriculture, Food and Rural Affairs",332,Accountable For,4640,Board of Negotiation,,,Responsable de
185,"Agriculture, Food and Rural Affairs",332,Accountable For,4581,Ontario Farm Products Marketing Commission,,,Responsable de
4580,"Agriculture, Food and Rural Affairs Appeal Tribunal",-332,Reporting To,185,"Agriculture, Food and Rural Affairs",,,Relève de
188,"Agriculture, Food and Rural Affairs::Research and Corporate Services Division",333,Serviced By,4549,Treasury Board Secretariat::Ontario Internal Audit Division::Transportation and Agriculture Audit Service Team - St Catharines,,,Reçoit des services de
2253,Alcohol and Gaming Commission of Ontario,-332,Reporting To,232,Attorney General,,,Relève de
1820,Algonquin Forestry Authority,-332,Reporting To,1183,Natural Resources and Forestry,,,Relève de
1402,Algonquin Forestry Authority - Pembroke,-332,Reporting To,1183,Natural Resources and Forestry,,,Relève de
441,Art Gallery of Ontario,-332,Reporting To,3398,"Tourism, Culture and Sport",,,Relève de
232,Attorney General,332,Accountable For,6309,Environment and Land Tribunals Ontario,,,Responsable de
232,Attorney General,332,Accountable For,3409,Judicial Appointments Advisory Committee,,,Responsable de
232,Attorney General,332,Accountable For,2642,Legal Aid Ontario,,,Responsable de
232,Attorney General,332,Accountable For,2605,Attorney General::Victims and Vulnerable Persons Division::Office for Victims of Crime,,,Responsable de
232,Attorney General,332,Accountable For,2253,Alcohol and Gaming Commission of Ontario,,,Responsable de
232,Attorney General,332,Accountable For,2041,Bail Verification and Supervision Program,,,Responsable de
232,Attorney General,332,Accountable For,433,Ontario Human Rights Commission,,,Responsable de
232,Attorney General,332,Accountable For,235,Special Investigations Unit,,,Responsable de
232,Attorney General,332,Accountable For,5891,Social Justice Tribunals Ontario,,,Responsable de
232,Attorney General,332,Accountable For,3462,Chief Inquiry Officer - Expropriations Act,,,Responsable de
232,Attorney General,332,Accountable For,162118,Local Planning Appeal Support Centre,,,Responsable de
232,Attorney General,332,Accountable For,6708,Office of the Independent Police Review Director,,,Responsable de
232,Attorney General,332,Accountable For,6438,Public Accountants Council,,,Responsable de
232,Attorney General,332,Accountable For,6439,Human Rights Legal Support Centre,,,Responsable de
232,Attorney General,332,Accountable For,6668,"Safety, Licensing Appeals and Standards Tribunals Ontario",,,Responsable de
345,Attorney General::Corporate Services Management Division,333,Serviced By,4547,Treasury Board Secretariat::Ontario Internal Audit Division::Justice Audit Service Team - Orillia,,,Reçoit des services de
349,Attorney General::Corporate Services Management Division::Justice Sector Freedom of Information and Protection of Privacy Office,-333,Provides Service To,2258,Community Safety and Correctional Services::Corporate Services Division,,,Fournit des services à
2605,Attorney General::Victims and Vulnerable Persons Division::Office for Victims of Crime,-332,Reporting To,232,Attorney General,,,Relève de
2041,Bail Verification and Supervision Program,-332,Reporting To,232,Attorney General,,,Relève de
4640,Board of Negotiation,-332,Reporting To,185,"Agriculture, Food and Rural Affairs",,,Relève de
978,Cancer Care Ontario,-332,Reporting To,909,Health and Long-Term Care,,,Relève de
3462,Chief Inquiry Officer - Expropriations Act,-332,Reporting To,232,Attorney General,,,Relève de
3736,Children and Youth Services,333,Serviced By,6441,Community and Social Services::Organizational Renewal Directorate,,,Reçoit des services de
3736,Children and Youth Services,333,Serviced By,4542,Treasury Board Secretariat::Ontario Internal Audit Division::Community Services Audit Service Team,,,Reçoit des services de
128338,Children and Youth Services::Business Planning and Corporate Services Division,333,Serviced By,4542,Treasury Board Secretariat::Ontario Internal Audit Division::Community Services Audit Service Team,,,Reçoit des services de
3808,Chiropody Review Committee,-332,Reporting To,909,Health and Long-Term Care,,,Relève de
3809,Chiropractic Review Committee,-332,Reporting To,909,Health and Long-Term Care,,,Relève de
405,Citizenship and Immigration,333,Serviced By,2846,"Education::Office of the Chief Information Officer, Community Services I&IT Cluster",,,Reçoit des services de
405,Citizenship and Immigration,333,Serviced By,4543,Treasury Board Secretariat::Ontario Internal Audit Division::Culture and Innovation Audit Service Team,,,Reçoit des services de
6364,College of Trades Appointments Council,-332,Reporting To,2698,"Training, Colleges and Universities",,,Relève de
2697,Community Safety and Correctional Services,332,Accountable For,5843,Death Investigation Oversight Council,,,Responsable de
2697,Community Safety and Correctional Services,332,Accountable For,1856,Fire Safety Commission,,,Responsable de
2697,Community Safety and Correctional Services,332,Accountable For,1814,Ontario Police Arbitration Commission,,,Responsable de
2258,Community Safety and Correctional Services::Corporate Services Division,333,Serviced By,349,Attorney General::Corporate Services Management Division::Justice Sector Freedom of Information and Protection of Privacy Office,,,Reçoit des services de
2258,Community Safety and Correctional Services::Corporate Services Division,333,Serviced By,4547,Treasury Board Secretariat::Ontario Internal Audit Division::Justice Audit Service Team - Orillia,,,Reçoit des services de
162236,Community Safety and Correctional Services::Justice Technology Services::Government Mobile Communications::Contract & Vendor Management::Radio Servies & Customer Relationship Management (CRM),332,Accountable For,4882,Community Safety and Correctional Services::Justice Technology Services::Government Mobile Communications::Public Safety Radio Services,,,Responsable de
162236,Community Safety and Correctional Services::Justice Technology Services::Government Mobile Communications::Contract & Vendor Management::Radio Servies & Customer Relationship Management (CRM),332,Accountable For,5879,Community Safety and Correctional Services::Justice Technology Services::Government Mobile Communications::Public Safety Radio Operations,,,Responsable de
162236,Community Safety and Correctional Services::Justice Technology Services::Government Mobile Communications::Contract & Vendor Management::Radio Servies & Customer Relationship Management (CRM),332,Accountable For,162237,Community Safety and Correctional Services::Justice Technology Services::Government Mobile Communications::Transition & Project Management,,,Responsable de
5879,Community Safety and Correctional Services::Justice Technology Services::Government Mobile Communications::Public Safety Radio Operations,-332,Reporting To,162236,Community Safety and Correctional Services::Justice Technology Services::Government Mobile Communications::Contract & Vendor Management::Radio Servies & Customer Relationship Management (CRM),,,Relève de
4882,Community Safety and Correctional Services::Justice Technology Services::Government Mobile Communications::Public Safety Radio Services,-332,Reporting To,162236,Community Safety and Correctional Services::Justice Technology Services::Government Mobile Communications::Contract & Vendor Management::Radio Servies & Customer Relationship Management (CRM),,,Relève de
162237,Community Safety and Correctional Services::Justice Technology Services::Government Mobile Communications::Transition & Project Management,-332,Reporting To,162236,Community Safety and Correctional Services::Justice Technology Services::Government Mobile Communications::Contract & Vendor Management::Radio Servies & Customer Relationship Management (CRM),,,Relève de
2259,Community Safety and Correctional Services::Office of the Fire Marshal and Emergency Management::Office of the Fire Marshal::Deputy Fire Marshal::Fire Investigations Services and Field and Advisory Services::Fire Investigation Services,332,Accountable For,6090,Community Safety and Correctional Services::Office of the Fire Marshal and Emergency Management::Office of the Fire Marshal::Deputy Fire Marshal::Fire Investigations Services and Field and Advisory Services::Fire Investigation Services::FIS-team 1,,,Responsable de
6090,Community Safety and Correctional Services::Office of the Fire Marshal and Emergency Management::Office of the Fire Marshal::Deputy Fire Marshal::Fire Investigations Services and Field and Advisory Services::Fire Investigation Services::FIS-team 1,-332,Reporting To,2259,Community Safety and Correctional Services::Office of the Fire Marshal and Emergency Management::Office of the Fire Marshal::Deputy Fire Marshal::Fire Investigations Services and Field and Advisory Services::Fire Investigation Services,,,Relève de
460,Community and Social Services::Business Planning and Corporate Services Division,333,Serviced By,4542,Treasury Board Secretariat::Ontario Internal Audit Division::Community Services Audit Service Team,,,Reçoit des services de
6441,Community and Social Services::Organizational Renewal Directorate,-333,Provides Service To,3736,Children and Youth Services,,,Fournit des services à
4726,Conflict of Interest Commissioner,-332,Reporting To,7183,Treasury Board Secretariat,,,Relève de
983,Consent and Capacity Board,-332,Reporting To,909,Health and Long-Term Care,,,Relève de
1852,Council of the Association of Ontario Land Surveyors,-332,Reporting To,1183,Natural Resources and Forestry,,,Relève de
5843,Death Investigation Oversight Council,-332,Reporting To,2697,Community Safety and Correctional Services,,,Relève de
3810,Dental Review Committee,-332,Reporting To,909,Health and Long-Term Care,,,Relève de
1849,Deposit Insurance Corporation of Ontario,-332,Reporting To,813,Finance,,,Relève de
2070,Destination Ontario,-332,Reporting To,3398,"Tourism, Culture and Sport",,,Relève de
645,"Economic Development, Job Creation and Trade",332,Accountable For,5526,Ontario Capital Growth Corporation,,,Responsable de
646,"Economic Development, Job Creation and Trade::Deputy Minister's Office",333,Serviced By,4543,Treasury Board Secretariat::Ontario Internal Audit Division::Culture and Innovation Audit Service Team,,,Reçoit des services de
4081,"Economic Development, Job Creation and Trade::International Trade Policy & Representation Division::International Representation Branch",332,Accountable For,4082,"Economic Development, Job Creation and Trade::International Trade Policy & Representation Division::Trade and Investment Offices",,,Responsable de
4082,"Economic Development, Job Creation and Trade::International Trade Policy & Representation Division::Trade and Investment Offices",-332,Reporting To,4081,"Economic Development, Job Creation and Trade::International Trade Policy & Representation Division::International Representation Branch",,,Relève de
649,Education,332,Accountable For,1841,Education Quality and Accountability Office,,,Responsable de
649,Education,332,Accountable For,2854,Ontario Educational Communications Authority (TVO),,,Responsable de
649,Education,332,Accountable For,6362,Ontario French-Language Education Communications Authority,,,Responsable de
649,Education,332,Accountable For,1832,Minister's Advisory Council on Special Education,,,Responsable de
649,Education,332,Accountable For,693,Provincial Schools Authority,,,Responsable de
649,Education,332,Accountable For,1829,Languages of Instruction Commission of Ontario,,,Responsable de
1841,Education Quality and Accountability Office,-332,Reporting To,649,Education,,,Relève de
654,Education::Corporate Management and Services Division,333,Serviced By,4544,Treasury Board Secretariat::Ontario Internal Audit Division::Education Audit Service Team,,,Reçoit des services de
2846,"Education::Office of the Chief Information Officer, Community Services I&IT Cluster",-333,Provides Service To,3398,"Tourism, Culture and Sport",,,Fournit des services à
2846,"Education::Office of the Chief Information Officer, Community Services I&IT Cluster",-333,Provides Service To,2698,"Training, Colleges and Universities",,,Fournit des services à
2846,"Education::Office of the Chief Information Officer, Community Services I&IT Cluster",-333,Provides Service To,405,Citizenship and Immigration,,,Fournit des services à
2846,"Education::Office of the Chief Information Officer, Community Services I&IT Cluster",-333,Provides Service To,1142,Municipal Affairs and Housing,,,Fournit des services à
165188,"Energy, Northern Development and Mines",332,Accountable For,809,Ontario Energy Board,,,Responsable de
165188,"Energy, Northern Development and Mines",332,Accountable For,1823,Ontario Northland Transportation Commission,,,Responsable de
165188,"Energy, Northern Development and Mines",332,Accountable For,3396,Owen Sound Transportation Company (OSTC),,,Responsable de
165188,"Energy, Northern Development and Mines",332,Accountable For,4124,Ontario Power Generation,,,Responsable de
165188,"Energy, Northern Development and Mines",333,Serviced By,3722,"Natural Resources and Forestry::Office of the Chief Information Officer, Land and Resources I&IT Cluster",,,Reçoit des services de
1406,"Energy, Northern Development and Mines::Deputy Minister, Northern Development and Mines",333,Serviced By,4548,Treasury Board Secretariat::Ontario Internal Audit Division::Resources and Labour Audit Service Team,,,Reçoit des services de
6309,Environment and Land Tribunals Ontario,-332,Reporting To,232,Attorney General,,,Relève de
707,"Environment, Conservation and Parks",332,Accountable For,4012,Advisory Council on Drinking Water Quality and Testing Standards,,,Responsable de
707,"Environment, Conservation and Parks",332,Accountable For,1824,Ontario Clean Water Agency,,,Responsable de
707,"Environment, Conservation and Parks",333,Serviced By,3722,"Natural Resources and Forestry::Office of the Chief Information Officer, Land and Resources I&IT Cluster",,,Reçoit des services de
707,"Environment, Conservation and Parks",332,Accountable For,4119,Walkerton Clean Water Centre,,,Responsable de
707,"Environment, Conservation and Parks",332,Accountable For,812,Pesticides Advisory Committee,,,Responsable de
110334,"Environment, Conservation and Parks::Climate Change Directorate",333,Serviced By,4100,"Environment, Conservation and Parks::Policy and Program Division::Divisional Business Services",,,Reçoit des services de
710,"Environment, Conservation and Parks::Deputy Minister's Office",333,Serviced By,4548,Treasury Board Secretariat::Ontario Internal Audit Division::Resources and Labour Audit Service Team,,,Reçoit des services de
752,"Environment, Conservation and Parks::Environmental Sciences and Standards Division::Technical Assessment and Standards Development Branch::Pesticides Section",332,Accountable For,812,Pesticides Advisory Committee,,,Responsable de
749,"Environment, Conservation and Parks::Environmental Sciences and Standards Division::Technical Assessment and Standards Development Branch::Water Standards",332,Accountable For,4012,Advisory Council on Drinking Water Quality and Testing Standards,,,Responsable de
4100,"Environment, Conservation and Parks::Policy and Program Division::Divisional Business Services",-333,Provides Service To,110334,"Environment, Conservation and Parks::Climate Change Directorate",,,Fournit des services à
813,Finance,332,Accountable For,2728,Ontario Electricity Financial Corporation,,,Responsable de
813,Finance,332,Accountable For,1849,Deposit Insurance Corporation of Ontario,,,Responsable de
813,Finance,332,Accountable For,1818,Ontario Lottery and Gaming Corporation,,,Responsable de
813,Finance,332,Accountable For,873,Ontario Securities Commission,,,Responsable de
813,Finance,332,Accountable For,860,Ontario Financing Authority,,,Responsable de
813,Finance,332,Accountable For,844,Financial Services Commission of Ontario,,,Responsable de
813,Finance,332,Accountable For,643,Liquor Control Board of Ontario,,,Responsable de
851,"Finance::Corporate & Quality Service Division, CAO/ ADM's Office",333,Serviced By,3076,Treasury Board Secretariat::Ontario Internal Audit Division::Finance Audit Service Team - Toronto,,,Reçoit des services de
851,"Finance::Corporate & Quality Service Division, CAO/ ADM's Office",333,Serviced By,845,Treasury Board Secretariat::Ontario Internal Audit Division::Finance Audit Service Team - Oshawa,,,Reçoit des services de
844,Financial Services Commission of Ontario,-332,Reporting To,813,Finance,,,Relève de
1856,Fire Safety Commission,-332,Reporting To,2697,Community Safety and Correctional Services,,,Relève de
1102,Government and Consumer Services,332,Accountable For,1133,Advertising Review Board,,,Responsable de
6146,Government and Consumer Services::Deputy Minister of Government Services,333,Serviced By,4545,Treasury Board Secretariat::Ontario Internal Audit Division::Government & Consumer Services Audit Service Team,,,Reçoit des services de
228,Grain Financial Protection Board,-332,Reporting To,185,"Agriculture, Food and Rural Affairs",,,Relève de
981,Health Professions Appeal and Review Board,-332,Reporting To,909,Health and Long-Term Care,,,Relève de
4497,Health Quality Ontario,-332,Reporting To,909,Health and Long-Term Care,,,Relève de
982,Health Services Appeal and Review Board,-332,Reporting To,909,Health and Long-Term Care,,,Relève de
909,Health and Long-Term Care,332,Accountable For,5048,Transitional Physician Audit Panel,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,4497,Health Quality Ontario,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,3811,Optometry Review Committee,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,3810,Dental Review Committee,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,3809,Chiropractic Review Committee,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,3808,Chiropody Review Committee,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,3407,Trillium Gift of Life Network,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,2810,Ontario Hepatitis C Assistance Plan Review Committee,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,1846,Medical Eligibility Committee,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,983,Consent and Capacity Board,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,982,Health Services Appeal and Review Board,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,981,Health Professions Appeal and Review Board,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,980,Ontario Review Board,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,979,Ontario Mental Health Foundation,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,978,Cancer Care Ontario,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,5139,Public Health Ontario,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,5159,eHealth Ontario,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,6177,Physician Payment Review Board,,,Responsable de
909,Health and Long-Term Care,332,Accountable For,6129,HealthForceOntario Marketing and Recruitment Agency,,,Responsable de
920,Health and Long-Term Care::Corporate Services Division,333,Serviced By,4546,Treasury Board Secretariat::Ontario Internal Audit Division::Health Audit Service Team,,,Reçoit des services de
6129,HealthForceOntario Marketing and Recruitment Agency,-332,Reporting To,909,Health and Long-Term Care,,,Relève de
6369,Higher Education Quality Council of Ontario,-332,Reporting To,2698,"Training, Colleges and Universities",,,Relève de
6439,Human Rights Legal Support Centre,-332,Reporting To,232,Attorney General,,,Relève de
